SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
2380,49,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,3,3,3,3,4,2,2,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,5,2,2,64,52,30,399,401,358
2381,49,2,5,5,4,5,4,3,4,3,3,4,4,4,5,5,4,3,3,3,5,4,4,3,4,3,5,3,3,4,4,4,3,3,2,3,3,3,3,3,2,2,2,3,3,2,3,3,4,4,3,4,4,3,56,52,50,383,401,406
2382,49,2,4,4,3,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,2,2,3,-1,4,4,60,52,30,391,401,358
2383,49,2,4,3,4,4,4,3,4,3,3,4,4,3,4,5,3,3,2,3,3,4,4,3,2,1,3,2,2,1,3,3,2,3,2,3,3,3,4,3,3,2,1,2,1,3,1,1,2,2,3,5,1,1,48,49,40,360,395,386
2384,49,2,4,4,3,4,4,4,4,4,4,5,5,5,2,3,3,3,3,4,5,5,4,4,4,4,5,5,5,4,5,5,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,5,5,5,74,70,80,433,434,456
2385,49,2,5,4,4,4,4,4,4,3,3,4,3,2,4,4,3,3,2,3,1,2,3,3,2,4,3,4,4,3,3,3,3,3,3,3,4,4,3,2,3,2,2,2,2,2,3,3,3,3,3,5,5,4,83,97,75,467,534,447
2386,49,2,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,3,4,3,3,3,3,4,4,4,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,-1,4,4,69,58,60,415,412,423
2387,49,2,5,5,4,5,5,2,5,2,5,5,3,4,5,5,5,5,2,5,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,4,4,2,59,58,60,383,412,423
2388,49,2,4,4,4,5,4,5,4,5,4,4,4,4,4,4,3,4,3,2,3,2,2,3,2,4,2,3,4,3,4,4,4,4,4,4,3,3,2,3,2,3,3,2,3,2,4,4,2,4,3,4,3,2,85,88,80,483,475,456
2389,49,2,4,3,3,4,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,1,3,3,2,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,5,2,2,77,40,20,443,374,289
